Item,Category,Quantity,Unit,Description,Variant Attribute,Options,Purchase Options,Build Applicability,Requires Processing,Processing Note,Manufacturer
Carriage Wheel,Mechanical,6,each,,Wheel Color,Black | Clear,Black - Bulkman3D: https://bulkman3d.com/product/vk0001/ | Clear - Bulkman3D: https://bulkman3d.com/product/vk0012/?attribute_bearings=625-2RS+Bearings | Alternate Black - Maker Store: https://makerstore.cc/product/solid-v-wheel-kit/ | Alternate Clear - Maker Store: https://makerstore.cc/product/solid-v-xtreme-wheel-kit/,Clamping | Freestanding,No,,Bulkman3D
Control Board,Electronics,1,each,Assembled control PCB for the Open Task Light. Purchase an assembled board or use the published manufacturing files to have one produced.,,Control Board,Gerber files coming soon,Clamping | Freestanding,No,,
Copper LED Bracket,Lighting,1,each,"Laser cut copper (.063"" thick) with 90 degree bend",,Copper LED Bracket,,Clamping | Freestanding,No,,
Counterweight Flex Tab Spring,Mechanical,2,each,6.350mm x 4.369mm Music Wire Compression Spring,,Counterweight Flex Tab Spring,The Spring Store: https://www.thespringstore.com/pc018-172-4500-mw-0250-c-n-in.html?um=me,Clamping | Freestanding,No,,The Spring Store by Acxess Spring
Flat Copper Heat Pipe - 350 mm,Lighting,1,each,Flat sintered copper heat pipe measuring 350 × 8.13 × 2.8 mm. Transfers heat from the LED assembly along the horizontal rail. You can also use a 400mm length if you want.,,Flat Copper Heat Pipe - 350 mm,DigiKey: https://www.digikey.com/en/products/detail/advanced-thermal-solutions-inc/ATS-HP-F6L350S12W-273/7899666,Clamping | Freestanding,No,,Advanced Thermal Solutions Inc.
GT2 Idler Pulley,Mechanical,1,each,Low profile GT2 toothless idler pulley,,GT2 Idler Pulley,AliExpress: https://www.aliexpress.us/item/3256804188092382.html?spm=a2g0o.order_list.order_list_main.53.1909180213PUFI&gatewayAdapt=glo2usa,Clamping | Freestanding,No,,Guangzhou magnesium Lun Electronic Technology Co. LTD
GT2 Timing Belt - 5 mm Wide,Mechanical,390,mm,Open-ended GT2 timing belt with 2 mm pitch and 5 mm width. One lamp requires a 390 mm cut length.,,GT2 Timing Belt - 5 mm Wide,Bulkman3D: https://bulkman3d.com/product/gt000-gt0003/?attribute_belt-pitch=GT2-Pitch+2mm&attribute_belt-width=5mm | Alternate Maker Store: https://makerstore.cc/product/gt2-2mm-timing-belt-per-meter/,Clamping | Freestanding,Yes,Cut to a finished length of 390 mm.,
LED,Lighting,1,each,,LED Temperature,3000K | 4000K,3000K - Mouser: https://www.mouser.com/ProductDetail/941-CXB15120PF0ZAL7C | 4000K - Mouser: https://www.mouser.com/ProductDetail/Cree-LED/CXB1512-0000-00PF0Z0A40H?qs=IPgv5n7u5Qaus3Sf%252BbYVcg%3D%3D,Clamping | Freestanding,No,,Cree LED
LED Socket,Lighting,1,each,LED socket for 15.8 x 15.8 mm COB LED packages.,,LED Socket,Mouser: https://www.mouser.com/ProductDetail/Ledil/F19861_HEKLA-G2B-TW1?qs=iLKYxzqNS74Cxis7PG1dhw%3D%3D,Clamping | Freestanding,No,,Ledil
Lens,Lighting,1,each,Wide-beam LED lens with Holder C and a 55-degree beam angle.,,Lens,Mouser: https://www.mouser.com/ProductDetail/Ledil/CP16109_CARMEN-50-W-C?qs=0lQeLiL1qyZMDUJ1jrzybw%3D%3D,Clamping | Freestanding,No,,Ledil
M2 Square Nut,Fastener,2,each,18-8 Stainless Steel Thin-Profile Square Nuts,,M2 Square Nut,McMaster-Carr: https://www.mcmaster.com/97258A121/,Clamping | Freestanding,No,,McMaster Carr Source
M2 x 6 mm Flat Head Screw,Fastener,8,each,Black-oxide alloy steel hex-drive flat head screw with M2 x 0.4 mm thread and a 90-degree countersink.,,M2 x 6 mm Flat Head Screw,McMaster-Carr: https://www.mcmaster.com/91294A004/,Clamping | Freestanding,No,,McMaster Carr Source
M3 SMD Standoff,Electronics,2,each,"Steel M3 surface-mount standoff, 2.5 mm high, installed on the Power Track PCB.",,M3 SMD Standoff,DigiKey: https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/78614025360/15792300,Clamping | Freestanding,No,,Würth Elektronik
M3 Square Nut,Fastener,1,each,"18-8 Stainless Steel Thin-Profile Square Nuts
M3 x 0.5 mm Thread",,M3 Square Nut,McMaster-Carr: https://www.mcmaster.com/97258A101/,Clamping | Freestanding,No,,
M3 x 10 mm Socket Head Screw,Fastener,5,each,"18-8 Stainless Steel Socket Head Screw
M3 x 0.5 mm Thread Size, 10 mm Long, Fully Threaded",,M3 x 10 mm Socket Head Screw,McMaster-Carr: https://www.mcmaster.com/91292A113/,Clamping | Freestanding,No,,McMaster Carr Source
M3 x 4 mm Set Screw,Fastener,2,each,"Alloy Steel Flat-Tip Set Screw, M3 x 0.5 mm Thread, 4 mm Long",,M3 x 4 mm Set Screw,McMaster-Carr: https://www.mcmaster.com/93245A098/,Clamping | Freestanding,No,,
M5 Aluminum Spacer - 3 mm,Mechanical,3,each,"M5x3mm, 10mm OD Round Aluminum Spacer",,M5 Aluminum Spacer - 3 mm,Bulkman3D: https://bulkman3d.com/product/round-spacers-m3-m4-m5-m6-m8/ | Alternate Maker Store: https://makerstore.cc/product/metric-aluminum-spacers/,Clamping | Freestanding,No,,
M5 Aluminum Spacer - 6 mm,Mechanical,5,each,"M5x6mm, 10mm OD Round Aluminum Spacer",,M5 Aluminum Spacer - 6 mm,Bulkman3D: https://bulkman3d.com/product/round-spacers-m3-m4-m5-m6-m8/ | Alternate Maker Store: https://makerstore.cc/product/metric-aluminum-spacers/,Clamping | Freestanding,No,,
M5 Eccentric Spacer,Mechanical,2,each,Stainless Steel 8HEX*6 Eccentric Spacer,,M5 Eccentric Spacer,Bulkman3D: https://bulkman3d.com/product/hd0004-hd0005/?attribute_material=Stainless+steel&attribute_size=8HEX%2A6&attribute_quantity=10pcs%2Fbag | Alternate Maker Store: https://makerstore.cc/product/eccentric-spacers-8mm-hex/,Clamping | Freestanding,No,,Bulkman3D
M5 Nylon Nut,Fastener,7,each,M5x4.5mm Low Profile Aluminum Flange Nylon Nut (clockwise),,M5 Nylon Nut,AliExpress: https://www.aliexpress.us/item/2251832652739547.html?spm=a2g0o.cart.0.0.4b4838dax8ht4Q&mp=1&pdp_npi=5%40dis%21USD%21USD%204.84%21USD%204.84%21%21USD%204.50%21%21%21%402101c67a17585818647373772ea79c%2165429003282%21ct%21US%214343634855%21%2160%210&_gl=1*1ja07gr*_gcl_au*NTY3MDE2NDM3LjE3NTQ5Njk3ODg.*_ga*MjEwMjAwNjYzNC4xNzU4NTA2OTM0*_ga_VED1YSGNC7*czE3NTg1ODA0MzIkbzMkZzEkdDE3NTg1ODE3NTgkajYwJGwwJGgw&gatewayAdapt=glo2usa#nav-specification,Clamping | Freestanding,No,,Custom
M5 Spring-Loaded Tee Nut,Fastener,5,each,20-M5 Stainless Steel spring loaded tee nut,,M5 Spring-Loaded Tee Nut,Bulkman3D: https://bulkman3d.com/product/hd0010-30/ | Alternate Maker Store: https://makerstore.cc/product/spring-loaded-tee-nuts/,Clamping | Freestanding,No,,Bulkman3D
M5 Square Nut,Fastener,1,each,"18-8 Stainless Steel 
Square Nuts
M5 x 0.8 mm Thread",,M5 Square Nut,McMaster-Carr: https://www.mcmaster.com/90225A101/,Clamping | Freestanding,No,,McMaster Carr Source
M5 x 10 mm Low-Profile Screw,Fastener,1,each,M5x10mm Low Profile Screw,,M5 x 10 mm Low-Profile Screw,Bulkman3D: https://bulkman3d.com/product/hd002/ | Alternate Maker Store: https://makerstore.cc/product/m5-low-profile-screws/,Freestanding,No,,
M5 x 12 mm Low-Profile Screw,Fastener,2,each,M5x12mm Low Profile Screw,,M5 x 12 mm Low-Profile Screw,Bulkman3D: https://bulkman3d.com/product/hd002/ | Alternate Maker Store: https://makerstore.cc/product/m5-low-profile-screws/,Clamping | Freestanding,No,,
M5 x 15 mm Low-Profile Screw,Fastener,2,each,M5x15mm Low Profile Screw,,M5 x 15 mm Low-Profile Screw,Bulkman3D: https://bulkman3d.com/product/hd002/ | Alternate Maker Store: https://makerstore.cc/product/m5-low-profile-screws/,Clamping | Freestanding,No,,
M5 x 27 mm Low-Profile Screw,Fastener,7,each,M5x27mm Low Profile Screw,,M5 x 27 mm Low-Profile Screw,Bulkman3D: https://bulkman3d.com/product/hd002/ | Alternate Maker Store: https://makerstore.cc/product/m5-low-profile-screws/,Clamping | Freestanding,No,,
M5 x 50 mm Low-Profile Socket Head Screw,Fastener,1,each,"Alloy Steel Low-Profile Socket Head Screw
Hex Drive, M5 x 0.8 mm Thread, 50 mm Long",,M5 x 50 mm Low-Profile Socket Head Screw,McMaster-Carr: https://www.mcmaster.com/93070A158/,Clamping,No,,
M5 x 8 mm Low-Profile Screw,Fastener,7,each,M5x8mm Low Profile Screw,,M5 x 8 mm Low-Profile Screw,Bulkman3D: https://bulkman3d.com/product/hd002/ | Alternate Maker Store: https://makerstore.cc/product/m5-low-profile-screws/,Clamping | Freestanding,No,,
M5 x 8 mm Narrow-Head Socket Cap Screw,Fastener,1,each,M5x8x6.6 Nonstandard Small Head Stainless Steel Socket Cap Screw,,M5 x 8 mm Narrow-Head Socket Cap Screw,AliExpress: https://www.aliexpress.us/item/3256809045102684.html?spm=a2g0o.cart.0.0.10f838daXq0Zxj&mp=1&pdp_npi=5%40dis%21USD%21USD%203.00%21USD%202.40%21%21USD%202.35%21%21%21%40210318c317582026454305158e69fd%2112000048423197666%21ct%21US%214343634855%21%2120%210&_gl=1*3cxgdu*_gcl_au*NTY3MDE2NDM3LjE3NTQ5Njk3ODg.*_ga*OTA4MDUwNTc0LjE3NTgyMDI1MjM.*_ga_VED1YSGNC7*czE3NTgyMDI1MjMkbzEkZzEkdDE3NTgyMDI1NjYkajE3JGwwJGgw&gatewayAdapt=glo2usa | Alternate McMaster-Carr: https://www.mcmaster.com/97710A127/,Clamping | Freestanding,No,,
Micro-Lock Connector - Right Angle,Electronics,2,each,"Connector Header Through Hole, Right Angle 2 position 0.049"" (1.25mm)",,Micro-Lock Connector - Right Angle,DigiKey: https://www.digikey.com/en/products/detail/molex/2200980271/22111645,Clamping | Freestanding,No,,Molex
Molex Micro-Lock Cable - 100 mm,Electronics,1,each,"Two-position socket-to-socket cable assembly (unmodified), used between the control board and horizontal power track.",,Molex Micro-Lock Cable - 100 mm,DigiKey: https://www.digikey.com/en/products/detail/molex/0451110201/7915875,Clamping | Freestanding,No,,Molex
Molex Micro-Lock Cable - 150 mm,Electronics,1,each,Two-position socket-to-socket cable assembly used as stock for the 75 mm LED cable and freestanding base power cable.,,Molex Micro-Lock Cable - 150 mm,DigiKey: https://www.digikey.com/en/products/detail/molex/0451110202/7915876,Clamping | Freestanding,No,,Molex
Molex Micro-Lock Cable - 450 mm,Electronics,1,each,Two-position socket-to-socket cable assembly used as stock for the clamping base power cable.,,Molex Micro-Lock Cable - 450 mm,DigiKey: https://www.digikey.com/en/products/detail/molex/0451110205/7915878,Clamping,No,,Molex
Power Link,Electronics,1,each,Power transfer board,,Power Link,,Clamping | Freestanding,Yes,,
Power Track PCB,Electronics,2,each,Power transmission track,,Power Track PCB,Gerber files coming soon,Clamping | Freestanding,No,,
Straight DC Power Jack,Electronics,1,each,"Straight solder-type DC barrel jack, 5.5 mm OD × 2.5 mm ID. Same Sky PR-002B.",,Straight DC Power Jack,DigiKey: https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PR-002B/724804,Clamping,No,,Same Sky
Thermal Epoxy,Consumable,1,each,"Two-part thermal epoxy used to bond the heat pipe to the horizontal rail. Wakefield BT-301-50M cures black and is recommended for black rails, but works with either rail color and is the less expensive option. MG Chemicals 8329TFF-50ML cures translucent and works with either rail color, but costs more. A compatible dual-cartridge dispensing gun is required.",,Thermal Epoxy,DigiKey: https://www.digikey.com/en/products/detail/wakefield-thermal-solutions/BT-301-50M/7317821,Clamping | Freestanding,No,,Wakefield Thermal Solutions
Thermal Paste,Lighting,2,each,GD900 Thermal Grease 0.5g 4.8W/mk,,Thermal Paste,Amazon: https://amzn.to/4ygiMa4 | Alternate AliExpress: https://www.aliexpress.us/item/3256807889217363.html?pdp_ext_f=%7B%22sku_id%22%3A%2212000043554428436%22%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2usa4itemAdapt,Clamping | Freestanding,No,,
V-slot Rail,Mechanical,2,each,2020 V-Slot Linear Rail,Rail Color,Black | Silver,Black - Bulkman3D: https://bulkman3d.com/product/v-slot-2020/?attribute_color=Black+anodised&attribute_length=2020-500mm | Silver - Bulkman3D: https://bulkman3d.com/product/v-slot-2020/?attribute_color=Silver+anodised&attribute_length=2020-500mm | Alternate Black - Maker Store: https://makerstore.cc/product/black-v-slot-20-x-20mm/ | Alternate Silver - Maker Store: https://makerstore.cc/product/v-slot-20-x-20mm/,Clamping | Freestanding,No,,Bulkman3D
Weight Material,Weight Material,600,gram,S550 steel shot,,Weight Material,Amazon: https://www.amazon.com/dp/B01M0NKLY6?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_2&th=1,Clamping | Freestanding,No,,N/A
